ID,Pair_Code,Disease_Pair,Severity,Climate,Prompt,Folder
11,A,Mosaic + Red Rot,Severe,Dry climate,"""Randomly generate a square sugarcane leaf with Mosaic and Red Rot co-occurring in severe stage under dry natural daylight in a real sugarcane farm field. Brittle mottled leaf  cracked red lesions. Severe drought stress. Dry cracked soil. Generate the image in the following format to match the MLTSDC training dataset: - Size: exactly 256x256 pixels - Shape: square (1:1 aspect ratio) - Color: RGB (3 channels), sRGB color space, 8-bit per channel - File format: JPEG (.jpg), quality 90% - Background: natural sugarcane farm field with soil, sky, and other leaves - Lighting: natural daylight only (no studio lights, flash, or artificial sources) - Contrast: moderate to high – disease lesions must be clearly visible - Sharpness: high – lesions have crisp edges, no heavy blur - Camera angle: close-up, slightly angled (30°–60° from leaf surface), not top-down - Occlusion: minimal to moderate (small overlapping leaves or dust, no heavy blocking) - No text, watermarks, borders, or artificial elements"",A",A
12,A,Mosaic + Red Rot,Severe,Rainy conditions,"""Randomly generate a square sugarcane leaf with Mosaic and Red Rot co-occurring in severe stage under rainy natural daylight in a real sugarcane farm field. Waterlogged mottling  large soaked red lesions. Leaf collapse. Heavy rain background. Generate the image in the following format to match the MLTSDC training dataset: - Size: exactly 256x256 pixels - Shape: square (1:1 aspect ratio) - Color: RGB (3 channels), sRGB color space, 8-bit per channel - File format: JPEG (.jpg), quality 90% - Background: natural sugarcane farm field with soil, sky, and other leaves - Lighting: natural daylight only (no studio lights, flash, or artificial sources) - Contrast: moderate to high – disease lesions must be clearly visible - Sharpness: high – lesions have crisp edges, no heavy blur - Camera angle: close-up, slightly angled (30°–60° from leaf surface), not top-down - Occlusion: minimal to moderate (small overlapping leaves or dust, no heavy blocking) - No text, watermarks, borders, or artificial elements"",A",A
13,B,Mosaic + Yellow,Early,Natural light,"""Randomly generate a square sugarcane leaf with Mosaic and Yellow co-occurring in early stage under natural daylight in a real sugarcane farm field. Early chlorotic streaks  faint midrib yellowing. Lesions distinct. Generate the image in the following format to match the MLTSDC training dataset: - Size: exactly 256x256 pixels - Shape: square (1:1 aspect ratio) - Color: RGB (3 channels), sRGB color space, 8-bit per channel - File format: JPEG (.jpg), quality 90% - Background: natural sugarcane farm field with soil, sky, and other leaves - Lighting: natural daylight only (no studio lights, flash, or artificial sources) - Contrast: moderate to high – disease lesions must be clearly visible - Sharpness: high – lesions have crisp edges, no heavy blur - Camera angle: close-up, slightly angled (30°–60° from leaf surface), not top-down - Occlusion: minimal to moderate (small overlapping leaves or dust, no heavy blocking) - No text, watermarks, borders, or artificial elements"",B",B
14,B,Mosaic + Yellow,Early,Humid,"""Randomly generate a square sugarcane leaf with Mosaic and Yellow co-occurring in early stage under humid natural daylight in a real sugarcane farm field. Dew on streaks and veins. Early yellow tint. Humid background. Generate the image in the following format to match the MLTSDC training dataset: - Size: exactly 256x256 pixels - Shape: square (1:1 aspect ratio) - Color: RGB (3 channels)  sRGB color space, 8-bit per channel - File format: JPEG (.jpg), quality 90% - Background: natural sugarcane farm field with soil, sky, and other leaves - Lighting: natural daylight only (no studio lights, flash, or artificial sources) - Contrast: moderate to high – disease lesions must be clearly visible - Sharpness: high – lesions have crisp edges, no heavy blur - Camera angle: close-up, slightly angled (30°–60° from leaf surface), not top-down - Occlusion: minimal to moderate (small overlapping leaves or dust, no heavy blocking) - No text, watermarks, borders, or artificial elements"",B",B
15,B,Mosaic + Yellow,Early,Dry climate,"""Randomly generate a square sugarcane leaf with Mosaic and Yellow co-occurring in early stage under dry natural daylight in a real sugarcane farm field. Faded streaks  pale yellow veins. Drought effect. Dry background. Generate the image in the following format to match the MLTSDC training dataset: - Size: exactly 256x256 pixels - Shape: square (1:1 aspect ratio) - Color: RGB (3 channels), sRGB color space, 8-bit per channel - File format: JPEG (.jpg), quality 90% - Background: natural sugarcane farm field with soil, sky, and other leaves - Lighting: natural daylight only (no studio lights, flash, or artificial sources) - Contrast: moderate to high – disease lesions must be clearly visible - Sharpness: high – lesions have crisp edges, no heavy blur - Camera angle: close-up, slightly angled (30°–60° from leaf surface), not top-down - Occlusion: minimal to moderate (small overlapping leaves or dust, no heavy blocking) - No text, watermarks, borders, or artificial elements"",B",B
16,B,Mosaic + Yellow,Early,Rainy conditions,"""Randomly generate a square sugarcane leaf with Mosaic and Yellow co-occurring in early stage under rainy natural daylight in a real sugarcane farm field. Water-soaked streaks  blurred yellowing. Droplets on leaf. Rainy background. Generate the image in the following format to match the MLTSDC training dataset: - Size: exactly 256x256 pixels - Shape: square (1:1 aspect ratio) - Color: RGB (3 channels), sRGB color space, 8-bit per channel - File format: JPEG (.jpg), quality 90% - Background: natural sugarcane farm field with soil, sky, and other leaves - Lighting: natural daylight only (no studio lights, flash, or artificial sources) - Contrast: moderate to high – disease lesions must be clearly visible - Sharpness: high – lesions have crisp edges, no heavy blur - Camera angle: close-up, slightly angled (30°–60° from leaf surface), not top-down - Occlusion: minimal to moderate (small overlapping leaves or dust, no heavy blocking) - No text, watermarks, borders, or artificial elements"",B",B
17,B,Mosaic + Yellow,Mid,Natural light,"""Randomly generate a square sugarcane leaf with Mosaic and Yellow co-occurring in mid stage under natural daylight in a real sugarcane farm field. Spreading mottling  midrib yellowing intensifying. Natural background. Generate the image in the following format to match the MLTSDC training dataset: - Size: exactly 256x256 pixels - Shape: square (1:1 aspect ratio) - Color: RGB (3 channels), sRGB color space, 8-bit per channel - File format: JPEG (.jpg), quality 90% - Background: natural sugarcane farm field with soil, sky, and other leaves - Lighting: natural daylight only (no studio lights, flash, or artificial sources) - Contrast: moderate to high – disease lesions must be clearly visible - Sharpness: high – lesions have crisp edges, no heavy blur - Camera angle: close-up, slightly angled (30°–60° from leaf surface), not top-down - Occlusion: minimal to moderate (small overlapping leaves or dust, no heavy blocking) - No text, watermarks, borders, or artificial elements"",B",B
18,B,Mosaic + Yellow,Mid,Humid,"""Randomly generate a square sugarcane leaf with Mosaic and Yellow co-occurring in mid stage under humid natural daylight in a real sugarcane farm field. Mottling with dew  yellow veins prominent. Humid air visible. Generate the image in the following format to match the MLTSDC training dataset: - Size: exactly 256x256 pixels - Shape: square (1:1 aspect ratio) - Color: RGB (3 channels), sRGB color space, 8-bit per channel - File format: JPEG (.jpg), quality 90% - Background: natural sugarcane farm field with soil, sky, and other leaves - Lighting: natural daylight only (no studio lights, flash, or artificial sources) - Contrast: moderate to high – disease lesions must be clearly visible - Sharpness: high – lesions have crisp edges, no heavy blur - Camera angle: close-up, slightly angled (30°–60° from leaf surface), not top-down - Occlusion: minimal to moderate (small overlapping leaves or dust, no heavy blocking) - No text, watermarks, borders, or artificial elements"",B",B
19,B,Mosaic + Yellow,Mid,Dry climate,"""Randomly generate a square sugarcane leaf with Mosaic and Yellow co-occurring in mid stage under dry natural daylight in a real sugarcane farm field. Dry mottling  yellowing spreading fast. Leaf brittleness. Generate the image in the following format to match the MLTSDC training dataset: - Size: exactly 256x256 pixels - Shape: square (1:1 aspect ratio) - Color: RGB (3 channels), sRGB color space, 8-bit per channel - File format: JPEG (.jpg), quality 90% - Background: natural sugarcane farm field with soil, sky, and other leaves - Lighting: natural daylight only (no studio lights, flash, or artificial sources) - Contrast: moderate to high – disease lesions must be clearly visible - Sharpness: high – lesions have crisp edges, no heavy blur - Camera angle: close-up, slightly angled (30°–60° from leaf surface), not top-down - Occlusion: minimal to moderate (small overlapping leaves or dust, no heavy blocking) - No text, watermarks, borders, or artificial elements"",B",B
20,B,Mosaic + Yellow,Mid,Rainy conditions,"""Randomly generate a square sugarcane leaf with Mosaic and Yellow co-occurring in mid stage under rainy natural daylight in a real sugarcane farm field. Blurred mottling  yellow veins soaked. Water droplets. Generate the image in the following format to match the MLTSDC training dataset: - Size: exactly 256x256 pixels - Shape: square (1:1 aspect ratio) - Color: RGB (3 channels), sRGB color space, 8-bit per channel - File format: JPEG (.jpg), quality 90% - Background: natural sugarcane farm field with soil, sky, and other leaves - Lighting: natural daylight only (no studio lights, flash, or artificial sources) - Contrast: moderate to high – disease lesions must be clearly visible - Sharpness: high – lesions have crisp edges, no heavy blur - Camera angle: close-up, slightly angled (30°–60° from leaf surface), not top-down - Occlusion: minimal to moderate (small overlapping leaves or dust, no heavy blocking) - No text, watermarks, borders, or artificial elements"",B",B
21,B,Mosaic + Yellow,Severe,Natural light,"""Randomly generate a square sugarcane leaf with Mosaic and Yellow co-occurring in severe stage under natural daylight in a real sugarcane farm field. Full mottling  complete yellowing and drying. Natural background. Generate the image in the following format to match the MLTSDC training dataset: - Size: exactly 256x256 pixels - Shape: square (1:1 aspect ratio) - Color: RGB (3 channels), sRGB color space, 8-bit per channel - File format: JPEG (.jpg), quality 90% - Background: natural sugarcane farm field with soil, sky, and other leaves - Lighting: natural daylight only (no studio lights, flash, or artificial sources) - Contrast: moderate to high – disease lesions must be clearly visible - Sharpness: high – lesions have crisp edges, no heavy blur - Camera angle: close-up, slightly angled (30°–60° from leaf surface), not top-down - Occlusion: minimal to moderate (small overlapping leaves or dust, no heavy blocking) - No text, watermarks, borders, or artificial elements"",B",B
22,B,Mosaic + Yellow,Severe,Humid,"""Randomly generate a square sugarcane leaf with Mosaic and Yellow co-occurring in severe stage under humid natural daylight in a real sugarcane farm field. Yellow leaf with mottling  wilting. High humidity. Generate the image in the following format to match the MLTSDC training dataset: - Size: exactly 256x256 pixels - Shape: square (1:1 aspect ratio) - Color: RGB (3 channels), sRGB color space, 8-bit per channel - File format: JPEG (.jpg), quality 90% - Background: natural sugarcane farm field with soil, sky, and other leaves - Lighting: natural daylight only (no studio lights, flash, or artificial sources) - Contrast: moderate to high – disease lesions must be clearly visible - Sharpness: high – lesions have crisp edges, no heavy blur - Camera angle: close-up, slightly angled (30°–60° from leaf surface), not top-down - Occlusion: minimal to moderate (small overlapping leaves or dust, no heavy blocking) - No text, watermarks, borders, or artificial elements"",B",B
23,B,Mosaic + Yellow,Severe,Dry climate,"""Randomly generate a square sugarcane leaf with Mosaic and Yellow co-occurring in severe stage under dry natural daylight in a real sugarcane farm field. Crispy yellow leaf  faded mottling. Severe drought. Generate the image in the following format to match the MLTSDC training dataset: - Size: exactly 256x256 pixels - Shape: square (1:1 aspect ratio) - Color: RGB (3 channels), sRGB color space, 8-bit per channel - File format: JPEG (.jpg), quality 90% - Background: natural sugarcane farm field with soil, sky, and other leaves - Lighting: natural daylight only (no studio lights, flash, or artificial sources) - Contrast: moderate to high – disease lesions must be clearly visible - Sharpness: high – lesions have crisp edges, no heavy blur - Camera angle: close-up, slightly angled (30°–60° from leaf surface), not top-down - Occlusion: minimal to moderate (small overlapping leaves or dust, no heavy blocking) - No text, watermarks, borders, or artificial elements"",B",B
24,B,Mosaic + Yellow,Severe,Rainy conditions,"""Randomly generate a square sugarcane leaf with Mosaic and Yellow co-occurring in severe stage under rainy natural daylight in a real sugarcane farm field. Soaked yellow leaf  mottling blurred. Heavy rain. Generate the image in the following format to match the MLTSDC training dataset: - Size: exactly 256x256 pixels - Shape: square (1:1 aspect ratio) - Color: RGB (3 channels), sRGB color space, 8-bit per channel - File format: JPEG (.jpg), quality 90% - Background: natural sugarcane farm field with soil, sky, and other leaves - Lighting: natural daylight only (no studio lights, flash, or artificial sources) - Contrast: moderate to high – disease lesions must be clearly visible - Sharpness: high – lesions have crisp edges, no heavy blur - Camera angle: close-up, slightly angled (30°–60° from leaf surface), not top-down - Occlusion: minimal to moderate (small overlapping leaves or dust, no heavy blocking) - No text, watermarks, borders, or artificial elements"",B",B
25,C,Mosaic + Rust,Early,Natural light,"""Randomly generate a square sugarcane leaf with Mosaic and Rust co-occurring in early stage under natural daylight in a real sugarcane farm field. Chlorotic streaks  small yellowish pustules. Natural background. Generate the image in the following format to match the MLTSDC training dataset: - Size: exactly 256x256 pixels - Shape: square (1:1 aspect ratio) - Color: RGB (3 channels), sRGB color space, 8-bit per channel - File format: JPEG (.jpg), quality 90% - Background: natural sugarcane farm field with soil, sky, and other leaves - Lighting: natural daylight only (no studio lights, flash, or artificial sources) - Contrast: moderate to high – disease lesions must be clearly visible - Sharpness: high – lesions have crisp edges, no heavy blur - Camera angle: close-up, slightly angled (30°–60° from leaf surface), not top-down - Occlusion: minimal to moderate (small overlapping leaves or dust, no heavy blocking) - No text, watermarks, borders, or artificial elements"",C",C
26,C,Mosaic + Rust,Early,Humid,"""Randomly generate a square sugarcane leaf with Mosaic and Rust co-occurring in early stage under humid natural daylight in a real sugarcane farm field. Streaks with dew  tiny pustules forming. Humid. Generate the image in the following format to match the MLTSDC training dataset: - Size: exactly 256x256 pixels - Shape: square (1:1 aspect ratio) - Color: RGB (3 channels), sRGB color space, 8-bit per channel - File format: JPEG (.jpg), quality 90% - Background: natural sugarcane farm field with soil, sky, and other leaves - Lighting: natural daylight only (no studio lights, flash, or artificial sources) - Contrast: moderate to high – disease lesions must be clearly visible - Sharpness: high – lesions have crisp edges, no heavy blur - Camera angle: close-up, slightly angled (30°–60° from leaf surface), not top-down - Occlusion: minimal to moderate (small overlapping leaves or dust, no heavy blocking) - No text, watermarks, borders, or artificial elements"",C",C
27,C,Mosaic + Rust,Early,Dry climate,"""Randomly generate a square sugarcane leaf with Mosaic and Rust co-occurring in early stage under dry natural daylight in a real sugarcane farm field. Faded streaks  dry pustules. Drought. Generate the image in the following format to match the MLTSDC training dataset: - Size: exactly 256x256 pixels - Shape: square (1:1 aspect ratio) - Color: RGB (3 channels), sRGB color space, 8-bit per channel - File format: JPEG (.jpg), quality 90% - Background: natural sugarcane farm field with soil, sky, and other leaves - Lighting: natural daylight only (no studio lights, flash, or artificial sources) - Contrast: moderate to high – disease lesions must be clearly visible - Sharpness: high – lesions have crisp edges, no heavy blur - Camera angle: close-up, slightly angled (30°–60° from leaf surface), not top-down - Occlusion: minimal to moderate (small overlapping leaves or dust, no heavy blocking) - No text, watermarks, borders, or artificial elements"",C",C
28,C,Mosaic + Rust,Early,Rainy conditions,"""Randomly generate a square sugarcane leaf with Mosaic and Rust co-occurring in early stage under rainy natural daylight in a real sugarcane farm field. Wet streaks  swelling pustules. Rain. Generate the image in the following format to match the MLTSDC training dataset: - Size: exactly 256x256 pixels - Shape: square (1:1 aspect ratio) - Color: RGB (3 channels), sRGB color space, 8-bit per channel - File format: JPEG (.jpg), quality 90% - Background: natural sugarcane farm field with soil, sky, and other leaves - Lighting: natural daylight only (no studio lights, flash, or artificial sources) - Contrast: moderate to high – disease lesions must be clearly visible - Sharpness: high – lesions have crisp edges, no heavy blur - Camera angle: close-up, slightly angled (30°–60° from leaf surface), not top-down - Occlusion: minimal to moderate (small overlapping leaves or dust, no heavy blocking) - No text, watermarks, borders, or artificial elements"",C",C
29,C,Mosaic + Rust,Mid,Natural light,"""Randomly generate a square sugarcane leaf with Mosaic and Rust co occurring in mid stage under natural daylight in a real sugarcane farm field. Mottling  orange pustules visible. Natural. Generate the image in the following format to match the MLTSDC training dataset: - Size: exactly 256x256 pixels - Shape: square (1:1 aspect ratio) - Color: RGB (3 channels), sRGB color space, 8-bit per channel - File format: JPEG (.jpg), quality 90% - Background: natural sugarcane farm field with soil, sky, and other leaves - Lighting: natural daylight only (no studio lights, flash, or artificial sources) - Contrast: moderate to high – disease lesions must be clearly visible - Sharpness: high – lesions have crisp edges, no heavy blur - Camera angle: close-up, slightly angled (30°–60° from leaf surface), not top-down - Occlusion: minimal to moderate (small overlapping leaves or dust, no heavy blocking) - No text, watermarks, borders, or artificial elements"",C",C
30,C,Mosaic + Rust,Mid,Humid,"""Randomly generate a square sugarcane leaf with Mosaic and Rust co-occurring in mid stage under humid natural daylight in a real sugarcane farm field. Mottling  rupturing pustules. Spore hints. Generate the image in the following format to match the MLTSDC training dataset: - Size: exactly 256x256 pixels - Shape: square (1:1 aspect ratio) - Color: RGB (3 channels), sRGB color space, 8-bit per channel - File format: JPEG (.jpg), quality 90% - Background: natural sugarcane farm field with soil, sky, and other leaves - Lighting: natural daylight only (no studio lights, flash, or artificial sources) - Contrast: moderate to high – disease lesions must be clearly visible - Sharpness: high – lesions have crisp edges, no heavy blur - Camera angle: close-up, slightly angled (30°–60° from leaf surface), not top-down - Occlusion: minimal to moderate (small overlapping leaves or dust, no heavy blocking) - No text, watermarks, borders, or artificial elements"",C",C
31,C,Mosaic + Rust,Mid,Dry climate,"""Randomly generate a square sugarcane leaf with Mosaic and Rust co-occurring in mid stage under dry natural daylight in a real sugarcane farm field. Dry mottling  brittle pustules. Generate the image in the following format to match the MLTSDC training dataset: - Size: exactly 256x256 pixels - Shape: square (1:1 aspect ratio) - Color: RGB (3 channels), sRGB color space, 8-bit per channel - File format: JPEG (.jpg), quality 90% - Background: natural sugarcane farm field with soil, sky, and other leaves - Lighting: natural daylight only (no studio lights, flash, or artificial sources) - Contrast: moderate to high – disease lesions must be clearly visible - Sharpness: high – lesions have crisp edges, no heavy blur - Camera angle: close-up, slightly angled (30°–60° from leaf surface), not top-down - Occlusion: minimal to moderate (small overlapping leaves or dust, no heavy blocking) - No text, watermarks, borders, or artificial elements"",C",C
32,C,Mosaic + Rust,Mid,Rainy conditions,"""Randomly generate a square sugarcane leaf with Mosaic and Rust co-occurring in mid stage under rainy natural daylight in a real sugarcane farm field. Wet mottling  wet pustules swelling. Generate the image in the following format to match the MLTSDC training dataset: - Size: exactly 256x256 pixels - Shape: square (1:1 aspect ratio) - Color: RGB (3 channels), sRGB color space, 8-bit per channel - File format: JPEG (.jpg), quality 90% - Background: natural sugarcane farm field with soil, sky, and other leaves - Lighting: natural daylight only (no studio lights, flash, or artificial sources) - Contrast: moderate to high – disease lesions must be clearly visible - Sharpness: high – lesions have crisp edges, no heavy blur - Camera angle: close-up, slightly angled (30°–60° from leaf surface), not top-down - Occlusion: minimal to moderate (small overlapping leaves or dust, no heavy blocking) - No text, watermarks, borders, or artificial elements"",C",C
33,C,Mosaic + Rust,Severe,Natural light,"""Randomly generate a square sugarcane leaf with Mosaic and Rust co-occurring in severe stage under natural daylight in a real sugarcane farm field. Full mottling  orange pustules rupturing. Generate the image in the following format to match the MLTSDC training dataset: - Size: exactly 256x256 pixels - Shape: square (1:1 aspect ratio) - Color: RGB (3 channels), sRGB color space, 8-bit per channel - File format: JPEG (.jpg), quality 90% - Background: natural sugarcane farm field with soil, sky, and other leaves - Lighting: natural daylight only (no studio lights, flash, or artificial sources) - Contrast: moderate to high – disease lesions must be clearly visible - Sharpness: high – lesions have crisp edges, no heavy blur - Camera angle: close-up, slightly angled (30°–60° from leaf surface), not top-down - Occlusion: minimal to moderate (small overlapping leaves or dust, no heavy blocking) - No text, watermarks, borders, or artificial elements"",C",C
34,C,Mosaic + Rust,Severe,Humid,"""Randomly generate a square sugarcane leaf with Mosaic and Rust co-occurring in severe stage under humid natural daylight in a real sugarcane farm field. Heavy spore release  wilting. Generate the image in the following format to match the MLTSDC training dataset: - Size: exactly 256x256 pixels - Shape: square (1:1 aspect ratio) - Color: RGB (3 channels), sRGB color space, 8-bit per channel - File format: JPEG (.jpg), quality 90% - Background: natural sugarcane farm field with soil, sky, and other leaves - Lighting: natural daylight only (no studio lights, flash, or artificial sources) - Contrast: moderate to high – disease lesions must be clearly visible - Sharpness: high – lesions have crisp edges, no heavy blur - Camera angle: close-up, slightly angled (30°–60° from leaf surface), not top-down - Occlusion: minimal to moderate (small overlapping leaves or dust, no heavy blocking) - No text, watermarks, borders, or artificial elements"",C",C
